bench,instance_id,original_inst_id,language,status,patch_files,patch_blocks,patch_span,gold_context_length,num_agents,repo,commit
Verified,SWE-Bench-Verified__python__maintenance__bugfix__27320d49,scikit-learn__scikit-learn-25232,python,pass,1.0,5.0,11.0,1287.0,86,,f7eea978097085a6781a0e92fc14ba7712a52d75
Pro,SWE-Bench-Pro__python__maintenance__bugfix__512d556b,instance_ansible__ansible-fb144c44144f8bd3542e71f5db62b6d322c7bd85-vba6da65a0f3baefda7a058ebbd0a8dcafb8512f5,mixed,pass,2.0,5.0,21.0,3245.0,0,,662d34b9a7a1b3ab1d4847eeaef201a005826aef
Verified,SWE-Bench-Verified__python__maintenance__bugfix__e09a2d75,sympy__sympy-13551,python,pass,1.0,1.0,7.0,369.0,44,,9476425b9e34363c2d9ac38e9f04aa75ae54a775
Verified,SWE-Bench-Verified__python__maintenance__bugfix__ac705f35,django__django-14434,python,pass,1.0,1.0,2.0,865.0,80,,5e04e84d67da8163f365e9f5fcd169e2630e2873
Verified,SWE-Bench-Verified__python__maintenance__bugfix__bc1c666f,sympy__sympy-12489,python,pass,1.0,20.0,51.0,6302.0,15,,aa9780761ad8c3c0f68beeef3a0ce5caac9e100b
Verified,SWE-Bench-Verified__python__maintenance__bugfix__0006beec,django__django-14765,python,pass,1.0,1.0,5.0,444.0,104,,4e8121e8e42a24acc3565851c9ef50ca8322b15c
Poly,SWE-PolyBench__python__maintenance__bugfix__8c189fda,keras-team__keras-18553,mixed,pass,1.0,6.0,6.0,2613.0,0,,c8a5a8969a8712a9a1939937ce34158e04cfc09d
Verified,SWE-Bench-Verified__python__maintenance__bugfix__e5a3bf2a,astropy__astropy-14539,python,pass,1.0,1.0,2.0,253.0,84,,c0a24c1dc957a3b565294213f435fefb2ec99714
Poly,SWE-PolyBench__python__evolution__feature__674464fb,huggingface__transformers-28517,mixed,pass,1.0,4.0,34.0,1408.0,0,,edb170238febf7fc3e3278ed5b9ca0b2c40c70e3
Verified,SWE-Bench-Verified__python__maintenance__bugfix__cecff61c,django__django-16819,python,pass,1.0,1.0,9.0,189.0,89,,0b0998dc151feb77068e2387c34cc50ef6b356ae
Poly,SWE-PolyBench__python__maintenance__bugfix__84e0afe2,huggingface__transformers-24238,mixed,pass,1.0,2.0,6.0,702.0,0,,d7389cd20168052e5fc7abe0cf31cd1eb960fbc9
Verified,SWE-Bench-Verified__python__maintenance__bugfix__986c9e85,django__django-12193,python,pass,1.0,1.0,3.0,285.0,61,,3fb7c12158a2402f0f80824f6778112071235803
Verified,SWE-Bench-Verified__python__maintenance__bugfix__91e36e16,sympy__sympy-21847,python,pass,1.0,2.0,4.0,598.0,99,,d9b18c518d64d0ebe8e35a98c2fb519938b9b151
